source_file,bird_species,bird_common,bird_family,obstype,study_type_raw,prey_class,prey_order,prey_family,prey_genus,prey_scientific,prey_stage,fraction_diet,diet_type,pred_mass_g,prey_mass_g,location_region,year,season,item_n,bird_n,ppmr_ln
"aviandietdb (Hurlbert et al. 2021, R pkg)",Buteo platypterus,Broad-winged Hawk,Accipitridae,Stomach,stomach contents,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii,"",0.0169,Items,453.7,883,Iowa;Minnesota,1933,summer,177,17,0.665889013934041
"aviandietdb (Hurlbert et al. 2021, R pkg)",Buteo platypterus,Broad-winged Hawk,Accipitridae,Stomach,stomach contents,Mammalia,Rodentia,Sciuridae,Spermophilus,"","",0.0056,Items,453.7,353.233333333333,Iowa;Minnesota,1933,summer,177,17,-0.250307347157237
"aviandietdb (Hurlbert et al. 2021, R pkg)",Buteogallus anthracinus,Common Black Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Cardinalidae,Spiza,Spiza americana,"",0.075,Wt_or_Vol,975.1,26.2,New Mexico,1928,spring,,1,-3.61678061907402
"aviandietdb (Hurlbert et al. 2021, R pkg)",Buteogallus anthracinus,Common Black Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Corvidae,Cyanocorax,"","",0.111,Occurrence,975.1,177.245,El Salvador,1912,multiple,,9,-1.70500707357142
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Phasianidae,Bonasa,Bonasa umbellus,"",0.009345794,Items,429.7,530.9,Michigan,1941,summer,107,,0.211486388808677
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Odontophoridae,Colinus,Colinus virginianus,"",0.009345794,Items,429.7,171.9,Michigan,1941,summer,107,,-0.916174378392145
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,"",0.074766355,Items,429.7,1120.3,Michigan,1941,summer,107,,0.958264494783728
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius vociferus,"",0.009345794,Items,429.7,96.4,Michigan,1941,summer,107,,-1.49458108916445
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura,"",0.074766355,Items,429.7,118.9,Michigan,1941,summer,107,,-1.28480448708421
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,"",0.009345794,Items,429.7,64,Michigan,1941,summer,107,,-1.90420420742128
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,"",0.028037383,Items,429.7,131.5,Michigan,1941,summer,107,,-1.18408043916313
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Piciformes,Picidae,Picoides,Picoides villosus,"",0.009345794,Items,429.7,39.33,Michigan,1941,summer,107,,-2.39109970433723
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Piciformes,Picidae,Picoides,Picoides pubescens,"",0.018691589,Items,429.7,39.33,Michigan,1941,summer,107,,-2.39109970433723
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis phoebe,"",0.009345794,Items,429.7,19.7,Michigan,1941,summer,107,,-3.08246865503701
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Hirundinidae,Riparia,Riparia riparia,"",0.009345794,Items,429.7,12.7,Michigan,1941,summer,107,,-3.5214852973164
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata,"",0.074766355,Items,429.7,88,Michigan,1941,summer,107,,-1.58575047630274
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Sittidae,Sitta,Sitta carolinensis,"",0.018691589,Items,429.7,21,Michigan,1941,summer,107,,-3.01856485305753
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Turdidae,Turdus,Turdus migratorius,"",0.074766355,Items,429.7,78.5,Michigan,1941,summer,107,,-1.69998866599259
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum,"",0.018691589,Items,429.7,31.6,Michigan,1941,summer,107,,-2.60993017018808
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,"",0.093457944,Items,429.7,77.1,Michigan,1941,summer,107,,-1.71798401021167
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,"",0.130841121,Items,429.7,26.5,Michigan,1941,summer,107,,-2.78594255778877
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,"",0.056074766,Items,429.7,50.8,Michigan,1941,summer,107,,-2.13519093619651
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Icterus,Icterus galbula,"",0.028037383,Items,429.7,32.8,Michigan,1941,summer,107,,-2.57265877539085
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Quiscalus,Quiscalus quiscula,"",0.009345794,Items,429.7,105.2,Michigan,1941,summer,107,,-1.40722399047734
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Molothrus,Molothrus ater,"",0.018691589,Items,429.7,40.3,Michigan,1941,summer,107,,-2.36673582182831
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Emberizidae,Pooecetes,Pooecetes gramineus,"",0.028037383,Items,429.7,25.7,Michigan,1941,summer,107,,-2.81659629887978
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,"",0.074766355,Items,429.7,68.45,Michigan,1941,summer,107,,-1.83698373904649
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus,"",0.009345794,Items,429.7,200,Michigan,1941,summer,107,,-0.764769924232913
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,"",0.018691589,Items,429.7,546,Michigan,1941,summer,107,,0.239531684963956
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Phasianidae,Bonasa,Bonasa umbellus,"",0.025974026,Items,429.7,530.9,Michigan,1941,summer,77,,0.211486388808677
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,"",0.038961039,Items,429.7,1120.3,Michigan,1941,summer,77,,0.958264494783728
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura,"",0.012987013,Items,429.7,118.9,Michigan,1941,summer,77,,-1.28480448708421
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,"",0.012987013,Items,429.7,64,Michigan,1941,summer,77,,-1.90420420742128
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Strigiformes,Strigidae,Megascops,Megascops asio,"",0.012987013,Items,429.7,180,Michigan,1941,summer,77,,-0.870130439890739
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,"",0.090909091,Items,429.7,131.5,Michigan,1941,summer,77,,-1.18408043916313
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Hirundinidae,Progne,Progne subis,"",0.012987013,Items,429.7,53.8,Michigan,1941,summer,77,,-2.07781382361321
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata,"",0.090909091,Items,429.7,88,Michigan,1941,summer,77,,-1.58575047630274
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Mimidae,Dumetella,Dumetella carolinensis,"",0.025974026,Items,429.7,35.3,Michigan,1941,summer,77,,-2.4992043268417
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Turdidae,Turdus,Turdus migratorius,"",0.025974026,Items,429.7,78.5,Michigan,1941,summer,77,,-1.69998866599259
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum,"",0.038961039,Items,429.7,31.6,Michigan,1941,summer,77,,-2.60993017018808
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,"",0.025974026,Items,429.7,77.1,Michigan,1941,summer,77,,-1.71798401021167
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,"",0.103896104,Items,429.7,26.5,Michigan,1941,summer,77,,-2.78594255778877
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,"",0.064935065,Items,429.7,50.8,Michigan,1941,summer,77,,-2.13519093619651
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Icterus,Icterus galbula,"",0.025974026,Items,429.7,32.8,Michigan,1941,summer,77,,-2.57265877539085
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Molothrus,Molothrus ater,"",0.012987013,Items,429.7,40.3,Michigan,1941,summer,77,,-2.36673582182831
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Cardinalidae,Piranga,Piranga olivacea,"",0.025974026,Items,429.7,28.2,Michigan,1941,summer,77,,-2.72376531283688
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis,"",0.012987013,Items,429.7,42.6,Michigan,1941,summer,77,,-2.31123303750562
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Emberizidae,Pipilo,Pipilo erythrophthalmus,"",0.012987013,Items,429.7,40,Michigan,1941,summer,77,,-2.37420783666701
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,"",0.116883117,Items,429.7,68.45,Michigan,1941,summer,77,,-1.83698373904649
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus,"",0.012987013,Items,429.7,200,Michigan,1941,summer,77,,-0.764769924232913
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,"",0.012987013,Items,429.7,461.04,Michigan,1941,summer,77,,0.0703975163474624
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys volans,"",0.012987013,Items,429.7,72,Michigan,1941,summer,77,,-1.78642117176489
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,"",0.012987013,Items,429.7,1210,Michigan,1941,summer,77,,1.03528834780984
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Phasianidae,Bonasa,Bonasa umbellus,"",0.037037037,Items,429.7,530.9,Michigan,1942,summer,27,,0.211486388808677
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,"",0.111111111,Items,429.7,1120.3,Michigan,1942,summer,27,,0.958264494783728
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura,"",0.037037037,Items,429.7,118.9,Michigan,1942,summer,27,,-1.28480448708421
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,"",0.037037037,Items,429.7,131.5,Michigan,1942,summer,27,,-1.18408043916313
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Piciformes,Picidae,Picoides,Picoides villosus,"",0.037037037,Items,429.7,39.33,Michigan,1942,summer,27,,-2.39109970433723
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus tyrannus,"",0.037037037,Items,429.7,39.9,Michigan,1942,summer,27,,-2.37671096688513
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum,"",0.037037037,Items,429.7,31.6,Michigan,1942,summer,27,,-2.60993017018808
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,"",0.074074074,Items,429.7,77.1,Michigan,1942,summer,27,,-1.71798401021167
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,"",0.148148148,Items,429.7,26.5,Michigan,1942,summer,27,,-2.78594255778877
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,"",0.111111111,Items,429.7,50.8,Michigan,1942,summer,27,,-2.13519093619651
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Icterus,Icterus galbula,"",0.074074074,Items,429.7,32.8,Michigan,1942,summer,27,,-2.57265877539085
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,"",0.074074074,Items,429.7,68.45,Michigan,1942,summer,27,,-1.83698373904649
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Cricetidae,Synaptomys,Synaptomys cooperi,"",0.037037037,Items,429.7,28,Michigan,1942,summer,27,,-2.73088278060575
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Dipodidae,Zapus,Zapus hudsonius,"",0.037037037,Items,429.7,18.4,Michigan,1942,summer,27,,-3.15073662616601
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,"",0.078431373,Items,429.7,131.5,Michigan,1946,summer,51,,-1.18408043916313
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Piciformes,Picidae,Picoides,Picoides villosus,"",0.019607843,Items,429.7,39.33,Michigan,1946,summer,51,,-2.39109970433723
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata,"",0.019607843,Items,429.7,88,Michigan,1946,summer,51,,-1.58575047630274
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Mimidae,Dumetella,Dumetella carolinensis,"",0.019607843,Items,429.7,35.3,Michigan,1946,summer,51,,-2.4992043268417
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Turdidae,Turdus,Turdus migratorius,"",0.039215686,Items,429.7,78.5,Michigan,1946,summer,51,,-1.69998866599259
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Turdidae,Hylocichla,Hylocichla mustelina,"",0.019607843,Items,429.7,50.1,Michigan,1946,summer,51,,-2.14906628269013
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum,"",0.019607843,Items,429.7,31.6,Michigan,1946,summer,51,,-2.60993017018808
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,"",0.078431373,Items,429.7,77.1,Michigan,1946,summer,51,,-1.71798401021167
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Vireonidae,Vireo,Vireo flavifrons,"",0.019607843,Items,429.7,18,Michigan,1946,summer,51,,-3.17271553288478
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,"",0.039215686,Items,429.7,26.5,Michigan,1946,summer,51,,-2.78594255778877
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Sturnella,Sturnella magna,"",0.078431373,Items,429.7,91.8,Michigan,1946,summer,51,,-1.5434749931545
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,"",0.117647059,Items,429.7,50.8,Michigan,1946,summer,51,,-2.13519093619651
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Icterus,Icterus galbula,"",0.039215686,Items,429.7,32.8,Michigan,1946,summer,51,,-2.57265877539085
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Icteridae,Molothrus,Molothrus ater,"",0.019607843,Items,429.7,40.3,Michigan,1946,summer,51,,-2.36673582182831
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Cardinalidae,Piranga,Piranga olivacea,"",0.019607843,Items,429.7,28.2,Michigan,1946,summer,51,,-2.72376531283688
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis,"",0.019607843,Items,429.7,42.6,Michigan,1946,summer,51,,-2.31123303750562
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Emberizidae,Pooecetes,Pooecetes gramineus,"",0.019607843,Items,429.7,25.7,Michigan,1946,summer,51,,-2.81659629887978
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Passeriformes,Emberizidae,Melospiza,Melospiza melodia,"",0.019607843,Items,429.7,21.9,Michigan,1946,summer,51,,-2.97660065395849
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Soricomorpha,Talpidae,Scalopus,Scalopus aquaticus,"",0.019607843,Items,429.7,86.6,Michigan,1946,summer,51,,-1.60178747521256
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,"",0.098039216,Items,429.7,68.45,Michigan,1946,summer,51,,-1.83698373904649
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Emberizidae,Melospiza,"","",0.097,Items,429.7,18.2,North America,,multiple,145,,-3.1616656966982
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Galliformes,Odontophoridae,Colinus,"","",0.09,Items,429.7,141.225,North America,,multiple,145,,-1.11273292756962
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Passeridae,Passer,"","",0.09,Items,429.7,23.9392857142857,North America,,multiple,145,,-2.88756642759224
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Emberizidae,Pipilo,"","",0.062,Items,429.7,41.8,North America,,multiple,145,,-2.33019095125024
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Emberizidae,Junco,"","",0.041,Items,429.7,22.06,North America,,multiple,145,,-2.96932127695559
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Emberizidae,Spizella,"","",0.034,Items,429.7,11.75,North America,,multiple,145,,-3.59923405019078
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Mammalia,Rodentia,Sciuridae,Tamias,"","",0.062,Items,429.7,68.45,North America,,multiple,145,,-1.83698373904649
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Icteridae,Sturnella,"","",0.028,Items,429.7,95.95,North America,,multiple,145,,-1.49926006832724
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Mammalia,Rodentia,Cricetidae,Sigmodon,"","",0.028,Items,429.7,138.744444444444,North America,,multiple,145,,-1.13045357899607
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Turdidae,Turdus,"","",0.021,Items,429.7,76.5802325581395,North America,,multiple,145,,-1.72474830793647
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Turdidae,Hylocichla,"","",0.021,Items,429.7,50.1,North America,,multiple,145,,-2.14906628269013
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Corvidae,Cyanocitta,"","",0.021,Items,429.7,108,North America,,multiple,145,,-1.38095606365673
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Piciformes,Picidae,Colaptes,"","",0.021,Items,429.7,117.747368421053,North America,,multiple,145,,-1.29454590699996
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,stomach contents,Aves,Galliformes,Odontophoridae,Callipepla,"","",0.021,Items,429.7,173.175,North America,,multiple,145,,-0.90878464687228
