species,genus,a,b,n_records,length_type,Lmin_cm,Lmax_cm,family,order,class
Trachycorystes trachycorystes,Trachycorystes,0.0398,2.8913,1,SL,8.5,26,Auchenipteridae,Siluriformes,Teleostei
Calophysus macropterus,Calophysus,0.011,3.04,5,SL,12.2,47.5,Pimelodidae,Siluriformes,Teleostei
Pimelodus grosskopfii,Pimelodus,0.0118,3.04,3,SL,2.4,38,Pimelodidae,Siluriformes,Teleostei
Platynematichthys notatus,Platynematichthys,0.00922,3,1,TL,77.2,83,Pimelodidae,Siluriformes,Teleostei
Neolissochilus hexagonolepis,Neolissochilus,0.00998,3.04,1,TL,2.1,21.8,Cyprinidae,Cypriniformes,Teleostei
Niphon spinosus,Niphon,0.0146,3,1,TL,51.5,51.5,Niphonidae,Perciformes/Percoidei,Teleostei
Percichthys trucha,Percichthys,0.018,2.83,1,TL,1.3,36,Percichthyidae,Centrarchiformes,Teleostei
Barbodes carnaticus,Barbodes,0.0092,2.93,1,TL,17.8,50.2,Cyprinidae,Cypriniformes,Teleostei
Sorubim lima,Sorubim,0.0045,3.1213,4,SL,13.9,50.4,Pimelodidae,Siluriformes,Teleostei
Sorubimichthys planiceps,Sorubimichthys,0.0097,2.876,1,SL,33,74,Pimelodidae,Siluriformes,Teleostei
Platystacus cotylephorus,Platystacus,0.0021,3.03,1,SL,3.5,31.1,Aspredinidae,Siluriformes,Teleostei
Corydoras splendens,Corydoras,0.063,2.87,1,SL,6.5,9.9,Callichthyidae,Siluriformes,Teleostei
Scleromystax barbatus,Scleromystax,0.02803,2.83,2,SL,2.44,9,Callichthyidae,Siluriformes,Teleostei
Puntius terio,Puntius,0.01215,3.093,2,TL,2.6,8.68,Cyprinidae,Cypriniformes,Teleostei
Dianema longibarbis,Dianema,0.0328,2.9798,1,SL,7.2,9.8,Callichthyidae,Siluriformes,Teleostei
Hoplosternum magdalenae,Hoplosternum,0.093,2.528,1,SL,5.2,11.5,Callichthyidae,Siluriformes,Teleostei
Rasbora steineri,Rasbora,0.006,3.196,1,TL,5.4,8.5,Danionidae,Cypriniformes,Teleostei
Megalechis picta,Megalechis,0.056,2.75,1,SL,9.9,17,Callichthyidae,Siluriformes,Teleostei
Ancistrus dolichopterus,Ancistrus,0.0166,3.3232,1,SL,5.6,14.5,Loricariidae,Siluriformes,Teleostei
Panaque nigrolineatus,Panaque,0.0499,2.905,3,SL,7.7,34.3,Loricariidae,Siluriformes,Teleostei
Apteronotus albifrons,Apteronotus,0.0029,3.07,1,SL,20.3,47.5,Apteronotidae,Gymnotiformes,Teleostei
Eigenmannia virescens,Eigenmannia,0.0018,2.9455,6,SL,8,44,Sternopygidae,Gymnotiformes,Teleostei
Sternopygus macrurus,Sternopygus,0.007,2.569,3,SL,2.7,81,Sternopygidae,Gymnotiformes,Teleostei
Sarcocheilichthys nigripinnis,Sarcocheilichthys,0.00825,3.1785,10,TL,3.9,15.1,Gobionidae,Cypriniformes,Teleostei
Tor tambroides,Tor,0.0132,3,1,TL,75,81.3,Cyprinidae,Cypriniformes,Teleostei
Scorpis violacea,Scorpis,0.0194,2.924,1,TL,7.2,34.5,Scorpididae,Centrarchiformes,Teleostei
Protosalanx hyalocranius,Protosalanx,0.001,3.405,5,SL,2.4,19.5,Salangidae,Osmeriformes,Teleostei
Tilodon sexfasciatus,Tilodon,1.236165,1.85105,2,TL,,,Microcanthidae,Centrarchiformes,Teleostei
Salangichthys microdon,Salangichthys,0.00015,4.3,1,TL,4.61,6.09,Salangidae,Osmeriformes,Teleostei
Salanx chinensis,Salanx,0.00877,2.32,1,TL,5.66,13.73,Salangidae,Osmeriformes,Teleostei
Salanx cuvieri,Salanx,0.00235,2.56,1,TL,7.28,11.01,Salangidae,Osmeriformes,Teleostei
Botia dario,Botia,0.0109,3.078,7,TL,4.59,13.9,Botiidae,Cypriniformes,Teleostei
Botia lohachata,Botia,0.0188,2.865,4,TL,3.08,15.39,Botiidae,Cypriniformes,Teleostei
Acanthocobitis botia,Acanthocobitis,0.01755,2.8685,4,TL,3.56,14.87,Nemacheilidae,Cypriniformes,Teleostei
Selenotoca multifasciata,Selenotoca,0.022875,3,2,SL,22,22,Scatophagidae,Acanthuriformes,Teleostei
Acarichthys heckelii,Acarichthys,0.0381,2.9534,3,SL,1.1,19.5,Cichlidae,Cichliformes,Teleostei
Acaronia nassa,Acaronia,0.059,2.9163,1,SL,5.5,16,Cichlidae,Cichliformes,Teleostei
Laetacara dorsigera,Laetacara,0.0377,3.11,1,SL,0.7,4.6,Cichlidae,Cichliformes,Teleostei
Krobia itanyi,Krobia,0.0264,3.19,1,SL,1.8,9.5,Cichlidae,Cichliformes,Teleostei
Nemacheilus masyae,Nemacheilus,0.0051,3.0421,1,TL,4.9,8.6,Nemacheilidae,Cypriniformes,Teleostei
Andinoacara latifrons,Andinoacara,0.0565,2.8794,2,SL,2.4,20,Cichlidae,Cichliformes,Teleostei
Aequidens tetramerus,Aequidens,0.03485,3.085,4,TL,1.41,19.2,Cichlidae,Cichliformes,Teleostei
Apistogramma pertensis,Apistogramma,0.034,2.8081,1,SL,1.3,3.9,Cichlidae,Cichliformes,Teleostei
Chaetodon larvatus,Chaetodon,0.0257,3.1,1,TL,3.2,11.9,Chaetodontidae,Acanthuriformes,Teleostei
Plagiogeneion rubiginosum,Plagiogeneion,0.014845,3.105,2,SL,,,Emmelichthyidae,Eupercaria/misc,Teleostei
Pristolepis grootii,Pristolepis,0.028,2.876,1,TL,6,16,Pristolepididae,Anabantiformes,Teleostei
Biotodoma cupido,Biotodoma,0.0192,3.293,1,SL,5.5,11.7,Cichlidae,Cichliformes,Teleostei
Decapterus muroadsi,Decapterus,0.013025,3,2,SL,27.4,27.4,Carangidae,Carangiformes,Teleostei
Myxocyprinus asiaticus,Myxocyprinus,0.006935,3.1725,2,TL,5.6,68,Catostomidae,Cypriniformes,Teleostei
Heniochus intermedius,Heniochus,0.054075,3,2,SL,18.2,18.2,Chaetodontidae,Acanthuriformes,Teleostei
Johnrandallia nigrirostris,Johnrandallia,0.021,3.215,1,TL,4.2,20.7,Chaetodontidae,Acanthuriformes,Teleostei
Crenicichla saxatilis,Crenicichla,0.0124,3.14,1,SL,2.1,18.8,Cichlidae,Cichliformes,Teleostei
Satanoperca acuticeps,Satanoperca,0.0528,2.8156,1,SL,7.6,13.5,Cichlidae,Cichliformes,Teleostei
Geophagus camopiensis,Geophagus,0.036,2.929,1,SL,5.5,17.5,Cichlidae,Cichliformes,Teleostei
Vieja melanurus,Vieja,0.0283,2.8479,1,TL,11,24.8,Cichlidae,Cichliformes,Teleostei
Hypselecara temporalis,Hypselecara,0.044,3.1222,1,SL,6.7,14,Cichlidae,Cichliformes,Teleostei
Crenicichla geayi,Crenicichla,0.0246,2.874,1,SL,2.6,18.4,Cichlidae,Cichliformes,Teleostei
Leporinus friderici,Leporinus,0.01871,3.035,10,SL,2.8,37,Anostomidae,Characiformes,Teleostei
Leporinus maculatus,Leporinus,0.017,2.75,1,TL,4.5,17.4,Anostomidae,Characiformes,Teleostei
Pseudanos trimaculatus,Pseudanos,0.0085,3.08,1,TL,10,18.8,Anostomidae,Characiformes,Teleostei
Characidium fasciatum,Characidium,0.013,3.183,1,SL,2.3,6.9,Crenuchidae,Characiformes,Teleostei
Acestrorhynchus microlepis,Acestrorhynchus,0.008,2.92,3,TL,7.9,37,Acestrorhynchidae,Characiformes,Teleostei
Serranus flaviventris,Serranus,0.0085,3.42535,2,TL,4.5,8,Serranidae,Perciformes/Serranoidei,Teleostei
Aphyocharax rathbuni,Aphyocharax,0.0115,3.088,2,SL,1.2,7.1,Characidae,Characiformes,Teleostei
Boehlkea fredcochui,Boehlkea,0.00752,3.254,1,TL,3.6,5.4,Stevardiidae,Characiformes,Teleostei
Brycon henni,Brycon,0.02305,2.915,2,SL,5.2,33,Bryconidae,Characiformes,Teleostei
Bryconops affinis,Bryconops,0.0157,3.08,1,SL,1.7,10.8,Iguanodectidae,Characiformes,Teleostei
Bryconops caudomaculatus,Bryconops,0.0067,3.15,5,TL,1.3,12.4,Iguanodectidae,Characiformes,Teleostei
Charax gibbosus,Charax,0.0136,2.83,1,TL,7,14.4,Characidae,Characiformes,Teleostei
Cheirodon interruptus,Cheirodon,0.0242,3.06,2,SL,1.2,5.4,Characidae,Characiformes,Teleostei
Crenuchus spilurus,Crenuchus,0.0139,3.31,1,TL,1.2,3.8,Crenuchidae,Characiformes,Teleostei
Paristiopterus labiosus,Paristiopterus,0.0185,2.9308,1,FL,16,71,Pentacerotidae,Acropomatiformes,Teleostei
Gymnocorymbus thayeri,Gymnocorymbus,0.056,2.806,1,SL,5.4,7.4,Acestrorhamphidae,Characiformes,Teleostei
Hasemania nana,Hasemania,0.016,3.221,1,SL,0.9,3.8,Acestrorhamphidae,Characiformes,Teleostei
Nandus nebulosus,Nandus,0.01409,3.114,1,TL,4,10,Nandidae,Anabantiformes,Teleostei
Hemigrammus unilineatus,Hemigrammus,0.019,2.901,1,SL,2,3.1,Acestrorhamphidae,Characiformes,Teleostei
Geophagus steindachneri,Geophagus,0.0327,2.9885,1,SL,1.4,17,Cichlidae,Cichliformes,Teleostei
Brycon pesu,Brycon,0.0197,3.059,3,SL,8,18.9,Bryconidae,Characiformes,Teleostei
Gymnogeophagus gymnogenys,Gymnogeophagus,0.02995,2.89,2,SL,1.8,14.2,Cichlidae,Cichliformes,Teleostei
Megalamphodus bentosi,Megalamphodus,0.0184,3.0205,1,SL,2.1,3.5,Acestrorhamphidae,Characiformes,Teleostei
Moenkhausia dichroura,Moenkhausia,0.03385,2.89555,2,SL,1,8.87,Acestrorhamphidae,Characiformes,Teleostei
Bario oligolepis,Bario,0.0162,3.2365,2,SL,2.1,9.7,Acestrorhamphidae,Characiformes,Teleostei
Pseudocorynopoma doriae,Pseudocorynopoma,0.0221,3.01,1,SL,2,6.3,Stevardiidae,Characiformes,Teleostei
Triportheus elongatus,Triportheus,0.0114,3.06,1,SL,3.7,7.6,Triportheidae,Characiformes,Teleostei
Boulengerella maculata,Boulengerella,0.00109,3.578,1,SL,18.8,29.9,Ctenoluciidae,Characiformes,Teleostei
Boulengerella lucius,Boulengerella,0.0041,3.1764,1,SL,22,43,Ctenoluciidae,Characiformes,Teleostei
Ctenolucius hujeta,Ctenolucius,0.01005,2.898,2,SL,7.2,26,Ctenoluciidae,Characiformes,Teleostei
Scombrops oculatus,Scombrops,0.01262,2.9525,2,FL,9.8,104,Scombropidae,Acropomatiformes,Teleostei
Diaphus mollis,Diaphus,0.0173,2.988,1,SL,2.1,5.8,Myctophidae,Myctophiformes,Teleostei
Lestidiops jayakari,Lestidiops,0.00094,3.1835,2,SL,7.6,15.1,Paralepididae,Aulopiformes,Teleostei
Chromis lubbocki,Chromis,0.0298,2.7875,1,TL,11.2,14.4,Pomacentridae,Ovalentaria/misc,Teleostei
Pycnochromis nigrurus,Pycnochromis,0.00443,3,1,SL,3.1,4.1,Pomacentridae,Ovalentaria/misc,Teleostei
Chromis notata,Chromis,0.0108,3.22,2,TL,,,Pomacentridae,Ovalentaria/misc,Teleostei
Chrysiptera taupou,Chrysiptera,0.029845,2.851575,2,FL,3.5,8.2,Pomacentridae,Ovalentaria/misc,Teleostei
Microspathodon bairdii,Microspathodon,0.0423,3,2,SL,16.3,,Pomacentridae,Ovalentaria/misc,Teleostei
Neopomacentrus miryae,Neopomacentrus,0.02192,3,2,SL,12.5,12.5,Pomacentridae,Ovalentaria/misc,Teleostei
Neopomacentrus nemurus,Neopomacentrus,0.0259,2.91315,1,FL,4.5,7,Pomacentridae,Ovalentaria/misc,Teleostei
Nexilosus latifrons,Nexilosus,0.0075,3.35,1,TL,20.6,23.2,Pomacentridae,Ovalentaria/misc,Teleostei
Parma microlepis,Parma,0.0382,3,2,SL,17.2,,Pomacentridae,Ovalentaria/misc,Teleostei
Pomacentrus adelus,Pomacentrus,0.01761,3.2915,1,FL,2,8,Pomacentridae,Ovalentaria/misc,Teleostei
Pomacentrus albicaudatus,Pomacentrus,0.032135,3,2,SL,10.2,10.2,Pomacentridae,Ovalentaria/misc,Teleostei
Pomacentrus caeruleus,Pomacentrus,0.0245,2.784,1,TL,3,9.8,Pomacentridae,Ovalentaria/misc,Teleostei
Pomacentrus imitator,Pomacentrus,0.01019,3.46896,1,FL,6.3,9.2,Pomacentridae,Ovalentaria/misc,Teleostei
Luciobrotula bartschi,Luciobrotula,0.00225,3.32,1,TL,,,Ophidiidae,Ophidiiformes,Teleostei
Pomacentrus sulfureus,Pomacentrus,0.01457,3,2,SL,5.5,8.1,Pomacentridae,Ovalentaria/misc,Teleostei
Pomacentrus trichrourus,Pomacentrus,0.031305,3,2,SL,4.95,9,Pomacentridae,Ovalentaria/misc,Teleostei
Stegastes rectifraenum,Stegastes,0.03005,2.9805,2,TL,0.98,13.5,Pomacentridae,Ovalentaria/misc,Teleostei
Helogenes marmoratus,Helogenes,0.01225,3.17,2,SL,1.6,7.9,Cetopsidae,Siluriformes,Teleostei
Chaetodon nigropunctatus,Chaetodon,0.055,2.749,1,TL,9.1,12,Chaetodontidae,Acanthuriformes,Teleostei
Chaetodon litus,Chaetodon,0.0341,3,2,SL,11.5,,Chaetodontidae,Acanthuriformes,Teleostei
Coregonus tugun,Coregonus,0.00415,3.40965,2,,2,19.5,Salmonidae,Salmoniformes,Teleostei
Dascyllus marginatus,Dascyllus,0.0177,3,2,SL,4.5,6.4,Pomacentridae,Ovalentaria/misc,Teleostei
Pseudobathylagus milleri,Pseudobathylagus,0.00842,3.15,2,SL,9.6,20.6,Bathylagidae,Argentiniformes,Teleostei
Lipolagus ochotensis,Lipolagus,0.0132,2.853,1,TL,7.9,17.3,Bathylagidae,Argentiniformes,Teleostei
Coregonus muksun,Coregonus,0.003,3.36305,2,FL,12,60,Salmonidae,Salmoniformes,Teleostei
Coregonus ussuriensis,Coregonus,0.00517,3.3833,2,FL,21.3,49.5,Salmonidae,Salmoniformes,Teleostei
Coregonus chadary,Coregonus,0.0065,3.172,1,FL,16.3,41.4,Salmonidae,Salmoniformes,Teleostei
Scorpaena izensis,Scorpaena,0.01702,3,1,TL,44.5,44.5,Scorpaenidae,Perciformes/Scorpaenoidei,Teleostei
Scorpaena neglecta,Scorpaena,0.0178,3.005,4,TL,11.8,37.5,Scorpaenidae,Perciformes/Scorpaenoidei,Teleostei
Sphyraena waitii,Sphyraena,0.009655,2.831745,2,FL,19,31,Sphyraenidae,Carangaria/misc,Teleostei
Pseudoscopelus altipinnis,Pseudoscopelus,0.0136,2.898,1,TL,,,Chiasmodontidae,Scombriformes,Teleostei
Callionymus sublaevis,Callionymus,0.009425,3,2,SL,14.3,14.3,Callionymidae,Callionymiformes,Teleostei
Arnoglossus japonicus,Arnoglossus,0.0068,3.0088,1,TL,,,Bothidae,Pleuronectiformes,Teleostei
Hoplobrotula armata,Hoplobrotula,0.00394,3.1455,2,TL,16.1,62.4,Ophidiidae,Ophidiiformes,Teleostei
Pateobatis fai,Pateobatis,0.00302,3,1,TL,183,183,Dasyatidae,Myliobatiformes,Elasmobranchii
Pateobatis jenkinsii,Pateobatis,0.0789,2.77,1,WD,,,Dasyatidae,Myliobatiformes,Elasmobranchii
Myripristis chryseres,Myripristis,0.025445,3,2,SL,17.3,17.3,Holocentridae,Holocentriformes,Teleostei
Aetobatus ocellatus,Aetobatus,0.01322,3.0106,3,WD,44,184,Aetobatidae,Myliobatiformes,Elasmobranchii
Parupeneus porphyreus,Parupeneus,0.02753,3,3,FL,28,28,Mullidae,Mulliformes,Teleostei
Synodus dermatogenys,Synodus,0.00565,3.273265,2,FL,8,18,Synodontidae,Aulopiformes,Teleostei
Prionurus maculatus,Prionurus,0.198,2.504,1,SL,20.7,44.7,Acanthuridae,Acanthuriformes,Teleostei
Prionurus microlepidotus,Prionurus,0.0289,3,2,SL,14,,Acanthuridae,Acanthuriformes,Teleostei
Taeniamia leai,Taeniamia,0.00723,3.47985,1,FL,5.2,8.2,Apogonidae,Kurtiformes,Teleostei
Cheilodipterus novemstriatus,Cheilodipterus,0.0092,3.172,1,TL,1.99,5.14,Apogonidae,Kurtiformes,Teleostei
Cheilodipterus lachneri,Cheilodipterus,0.00967,3,3,FL,6,12.5,Apogonidae,Kurtiformes,Teleostei
Ecsenius frontalis,Ecsenius,0.0146,2.79,1,TL,2.17,5.07,Blenniidae,Blenniiformes,Teleostei
Meiacanthus nigrolineatus,Meiacanthus,0.020875,3,2,SL,6.7,6.7,Blenniidae,Blenniiformes,Teleostei
Synchiropus splendidus,Synchiropus,0.01094,3.34145,1,FL,3.5,6,Callionymidae,Callionymiformes,Teleostei
Cypho purpurascens,Cypho,0.01332,3.003915,2,FL,4,8.1,Pseudochromidae,Ovalentaria/misc,Teleostei
Apogonichthyoides timorensis,Apogonichthyoides,0.01807,3,3,SL,3.2,8.5,Apogonidae,Kurtiformes,Teleostei
Ostorhinchus norfolcensis,Ostorhinchus,0.01017,3.27709,1,FL,5.8,12,Apogonidae,Kurtiformes,Teleostei
Halichoeres hortulanus,Halichoeres,0.01485,3,3,TL,8.5,24.3,Labridae,Eupercaria/misc,Teleostei
Parapercis xanthozona,Parapercis,0.01329,2.88982,1,FL,3.5,17.5,Pinguipedidae,Perciformes/Uranoscopoidei,Teleostei
Amblyeleotris sungami,Amblyeleotris,0.00897,3,1,TL,6.9,7.6,Gobiidae,Gobiiformes,Teleostei
Trachypoma macracanthus,Trachypoma,0.0312,3,2,SL,14.3,,Anthiadidae,Perciformes/Serranoidei,Teleostei
Nemanthias bartlettorum,Nemanthias,0.00682,3.293,1,TL,2.5,8.7,Anthiadidae,Perciformes/Serranoidei,Teleostei
Kyphosus sydneyanus,Kyphosus,0.0226,3.055,1,FL,25,57.5,Kyphosidae,Centrarchiformes,Teleostei
Pseudochromis flavivertex,Pseudochromis,0.0145,2.85,1,TL,2.023,5.626,Pseudochromidae,Ovalentaria/misc,Teleostei
Hypoplectrus puella,Hypoplectrus,0.009,3.04,1,TL,4,8,Serranidae,Perciformes/Serranoidei,Teleostei
Pseudanthias taeniatus,Pseudanthias,0.01886,3,2,SL,11,11,Anthiadidae,Perciformes/Serranoidei,Teleostei
Canthigaster margaritata,Canthigaster,0.01493,3,2,SL,9.7,9.7,Tetraodontidae,Tetraodontiformes,Teleostei
Plagiotremus townsendi,Plagiotremus,0.007525,3,2,SL,5,5,Blenniidae,Blenniiformes,Teleostei
Pseudolabrus japonicus,Pseudolabrus,0.0217,3,2,SL,11.4,,Labridae,Eupercaria/misc,Teleostei
Periophthalmus barbarus,Periophthalmus,0.0111,3.013,5,TL,1.3,18,Oxudercidae,Gobiiformes,Teleostei
Notoglanidium akiri,Notoglanidium,0.0161,2.9075,2,TL,6.5,16.7,Auchenoglanididae,Siluriformes,Teleostei
Gymnothorax nubilus,Gymnothorax,0.00082,3.17,1,TL,58.3,82,Muraenidae,Anguilliformes,Teleostei
Cymbacephalus beauforti,Cymbacephalus,0.00402,3.21054,1,FL,19.5,52,Platycephalidae,Perciformes/Scorpaenoidei,Teleostei
Assessor macneilli,Assessor,0.021305,2.71335,2,FL,3.7,7,Plesiopidae,Ovalentaria/misc,Teleostei
Odax pullus,Odax,0.003405,3.3685,2,FL,3.6,50,Odacidae,Eupercaria/misc,Teleostei
Pelates octolineatus,Pelates,0.02043,2.8189,3,TL,,,Terapontidae,Centrarchiformes,Teleostei
Oligosarcus hepsetus,Oligosarcus,0.00905,3.005,4,TL,2.8,32,Acestrorhamphidae,Characiformes,Teleostei
Bodianus darwini,Bodianus,0.0134,2.971,1,TL,33.3,68,Labridae,Eupercaria/misc,Teleostei
Paralabrax albomaculatus,Paralabrax,0.01395,3,2,SL,13.2,,Serranidae,Perciformes/Serranoidei,Teleostei
Astyanax scabripinnis,Astyanax,0.007,3.22,1,TL,1.7,15.6,Acestrorhamphidae,Characiformes,Teleostei
Aplochiton taeniatus,Aplochiton,0.004,3.38,1,TL,2.3,9.8,Galaxiidae,Galaxiiformes,Teleostei
Moringua ferruginea,Moringua,2e-04,3,1,TL,38.2,,Moringuidae,Anguilliformes,Teleostei
Neoniphon aurolineatus,Neoniphon,0.020745,3,2,SL,19.5,22.5,Holocentridae,Holocentriformes,Teleostei
Plectrypops lima,Plectrypops,0.02161,3,3,FL,5.5,14.9,Holocentridae,Holocentriformes,Teleostei
Thysanophrys chiltonae,Thysanophrys,0.00267,3.34685,1,FL,7.5,22.1,Platycephalidae,Perciformes/Scorpaenoidei,Teleostei
Aplodactylus punctatus,Aplodactylus,0.0108,3.067,1,TL,8.7,43.5,Aplodactylidae,Centrarchiformes,Teleostei
Astyanax abramis,Astyanax,0.0313,3.005,2,SL,2.7,10,Acestrorhamphidae,Characiformes,Teleostei
Schilbe intermedius,Schilbe,0.005,3.19,9,TL,4.2,31.9,Schilbeidae,Siluriformes,Teleostei
Seriolella brama,Seriolella,0.01,3.1977,2,FL,22,52,Centrolophidae,Scombriformes,Teleostei
Seriolella caerulea,Seriolella,0.01795,3.06035,2,FL,29.8,58.7,Centrolophidae,Scombriformes,Teleostei
Kathetostoma giganteum,Kathetostoma,0.0198,3,3,TL,38,50,Uranoscopidae,Perciformes/Uranoscopoidei,Teleostei
Seriolella punctata,Seriolella,0.0086,3.2116,5,FL,26,57,Centrolophidae,Scombriformes,Teleostei
Porichthys porosissimus,Porichthys,0.005005,3.165,10,TL,2.5,34,Batrachoididae,Batrachoidiformes,Teleostei
Odontesthes argentinensis,Odontesthes,0.005,3.064,2,TL,2.8,42.1,Atherinopsidae,Atheriniformes,Teleostei
Pinguipes brasilianus,Pinguipes,0.0065,3.1694,3,TL,11.6,43.5,Pinguipedidae,Perciformes/Uranoscopoidei,Teleostei
Stromateus brasiliensis,Stromateus,0.00515,3.37174,2,FL,15.4,39.5,Stromateidae,Scombriformes,Teleostei
Dules auriga,Dules,0.007595,3.2545,6,TL,3.5,19.5,Serranidae,Perciformes/Serranoidei,Teleostei
Basilichthys microlepidotus,Basilichthys,0.0024,3.316,3,TL,11,31,Atherinopsidae,Atheriniformes,Teleostei
Forsterygion lapillum,Forsterygion,0.00417,3.214,1,TL,2.2,6.6,Tripterygiidae,Blenniiformes,Teleostei
Deuterodon taeniatus,Deuterodon,0.031,2.95,1,SL,6.71,10.69,Acestrorhamphidae,Characiformes,Teleostei
Pinguipes chilensis,Pinguipes,0.0346,2.703,1,TL,25.3,51,Pinguipedidae,Perciformes/Uranoscopoidei,Teleostei
Rhombosolea leporina,Rhombosolea,0.03772,2.9195,2,TL,,,Rhombosoleidae,Pleuronectiformes,Teleostei
Rhombosolea plebeia,Rhombosolea,0.0385,2.658,1,TL,,,Rhombosoleidae,Pleuronectiformes,Teleostei
Latridopsis ciliaris,Latridopsis,0.055,2.713,1,FL,,,Latridae,Centrarchiformes,Teleostei
Allocyttus niger,Allocyttus,0.012,3.17,2,TL,,,Oreosomatidae,Zeiformes,Teleostei
Myliobatis tobijei,Myliobatis,0.00772,3,1,TL,138,244,Myliobatidae,Myliobatiformes,Elasmobranchii
Orthopristis cantharina,Orthopristis,0.0214,2.812,1,TL,12,15.4,Haemulidae,Eupercaria/misc,Teleostei
Menticirrhus ophicephalus,Menticirrhus,0.011,2.993,3,TL,9.5,41.5,Sciaenidae,Eupercaria/misc,Teleostei
Triportheus angulatus,Triportheus,0.0279,2.584,7,TL,6.3,23.5,Triportheidae,Characiformes,Teleostei
Mylossoma duriventre,Mylossoma,0.0292,3.118,1,SL,5.4,24.9,Serrasalmidae,Characiformes,Teleostei
Ophisurus macrorhynchos,Ophisurus,0.00017,3,1,TL,163,207,Ophichthidae,Anguilliformes,Teleostei
Hyporhamphus intermedius,Hyporhamphus,0.002,2.863,4,TL,9.2,20.3,Hemiramphidae,Beloniformes,Teleostei
Neobythites sivicola,Neobythites,0.005,3.104,1,TL,6.7,27.6,Ophidiidae,Ophidiiformes,Teleostei
Apogon erythrinus,Apogon,0.02405,3,2,SL,3.9,,Apogonidae,Kurtiformes,Teleostei
Planiliza haematocheilus,Planiliza,0.008,3.04,5,TL,6.6,70,Mugilidae,Mugiliformes,Teleostei
Sphyraena pinguis,Sphyraena,0.0283,2.736,5,TL,13.1,36.2,Sphyraenidae,Carangaria/misc,Teleostei
Sphyraena japonica,Sphyraena,0.00237,3.22,1,TL,27.8,36.1,Sphyraenidae,Carangaria/misc,Teleostei
Callanthias japonicus,Callanthias,0.00415,3.36,1,TL,21,28,Callanthiidae,Eupercaria/misc,Teleostei
Pseudanthias cooperi,Pseudanthias,0.01737,2.832,1,TL,2.5,8.3,Anthiadidae,Perciformes/Serranoidei,Teleostei
Amioides polyacanthus,Amioides,0.019305,3,2,SL,18.5,18.5,Apogonidae,Kurtiformes,Teleostei
Nibea albiflora,Nibea,0.0204,2.961,2,SL,5,42,Sciaenidae,Eupercaria/misc,Teleostei
Gobius ophiocephalus,Gobius,0.011,2.998,7,TL,1.9,29.9,Gobiidae,Gobiiformes,Teleostei
Seriolella violacea,Seriolella,0.0014,3.578,1,TL,29.8,39,Centrolophidae,Scombriformes,Teleostei
Sparisoma cretense,Sparisoma,0.0119,3.0845,7,TL,9,43,Scaridae,Eupercaria/misc,Teleostei
Hapalogenys nigripinnis,Hapalogenys,0.0195,3.0741,1,TL,,,Lobotidae,Acanthuriformes,Teleostei
Ditrema temminckii,Ditrema,0.016575,2.8435,4,TL,2.6,20.8,Embiotocidae,Ovalentaria/misc,Teleostei
Hyperoglyphe japonica,Hyperoglyphe,0.0139,3.1555,2,FL,11.2,87,Centrolophidae,Scombriformes,Teleostei
Acanthogobius hasta,Acanthogobius,0.03087,2.43,1,TL,11.1,28.1,Gobiidae,Gobiiformes,Teleostei
Sebastes thompsoni,Sebastes,0.0048,3.42,3,TL,9.8,28.1,Sebastidae,Perciformes/Scorpaenoidei,Teleostei
Halichoeres zeylonicus,Halichoeres,0.0048,3.4056,1,TL,10.5,18.5,Labridae,Eupercaria/misc,Teleostei
Sebastes matsubarai,Sebastes,0.0109,3,1,TL,45.5,57,Sebastidae,Perciformes/Scorpaenoidei,Teleostei
Prochilodus lineatus,Prochilodus,0.03005,2.95,22,SL,5.9,80,Prochilodontidae,Characiformes,Teleostei
Helicolenus hilgendorfii,Helicolenus,0.0088,3.27,3,TL,6.1,17.8,Sebastidae,Perciformes/Scorpaenoidei,Teleostei
Myoxocephalus stelleri,Myoxocephalus,0.01069,3.12,1,FL,11,62,Cottidae,Perciformes/Cottoidei,Teleostei
Agonomalus proboscidalis,Agonomalus,0.0138,3,2,SL,12.8,,Agonidae,Perciformes/Cottoidei,Teleostei
Callionymus beniteguri,Callionymus,0.00307,3.13,1,TL,7.1,22.7,Callionymidae,Callionymiformes,Teleostei
Pseudorhombus oligodon,Pseudorhombus,0.0111,3.09165,2,SL,12.5,19.2,Paralichthyidae,Pleuronectiformes,Teleostei
Cynoglossus robustus,Cynoglossus,0.006,3.0375,4,TL,7.6,43.5,Cynoglossidae,Pleuronectiformes,Teleostei
Takifugu xanthopterus,Takifugu,0.02993,2.978,2,SL,4.3,21.6,Tetraodontidae,Tetraodontiformes,Teleostei
Takifugu niphobles,Takifugu,0.05408,2.611,5,TL,3.4,15.9,Tetraodontidae,Tetraodontiformes,Teleostei
Takifugu pardalis,Takifugu,0.0249,3,1,TL,29,31.7,Tetraodontidae,Tetraodontiformes,Teleostei
Upeneichthys lineatus,Upeneichthys,0.024595,2.9783,2,FL,6.3,28.8,Mullidae,Mulliformes,Teleostei
Batrochoglanis raninus,Batrochoglanis,0.0235,3.07,1,SL,1.9,10.4,Pseudopimelodidae,Siluriformes,Teleostei
Auchenipterichthys thoracatus,Auchenipterichthys,0.02138,3.066,1,SL,5.1,13.8,Auchenipteridae,Siluriformes,Teleostei
