"source_file","study","obs_type","pred_class","pred_genus","pred_species","specimen","pred_total_length_cm","pred_svl_cm","pred_sex","pred_mass_g","lat","lon","prey_category","prey_clade","count","prey_total_mass_g","prey_mean_item_mass_g","certainty"
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CJM",77.8,33.8,"male",NA,31.0729586,-81.4060903,"Insects/Arachnids","Invertebrate",26,0.86,0.0330769230769231,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDJ",66.8,29.9,"male",NA,31.0745089,-81.42187308,"Fishes","Actinopterygii",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDJ",66.8,29.9,"male",NA,31.0745089,-81.42187308,"Insects/Arachnids","Invertebrate",4,0.84,0.21,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDK",58.1,27.5,"female",NA,31.07451404,-81.421838,"Insects/Arachnids","Invertebrate",3,0.34,0.113333333333333,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CFJ",66.5,29.7,"male",NA,31.07449755,-81.42183455,"Crustaceans","Invertebrate",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CFJ",66.5,29.7,"male",NA,31.07449755,-81.42183455,"Fishes","Actinopterygii",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CFJ",66.5,29.7,"male",NA,31.07449755,-81.42183455,"Gastropods","Invertebrate",3,0.04,0.0133333333333333,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CFJ",66.5,29.7,"male",NA,31.07449755,-81.42183455,"Insects/Arachnids","Invertebrate",2,0.04,0.02,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDFJ",59.2,26.5,"female",NA,31.0745012,-81.42183369,"Crustaceans","Invertebrate",1,0.1,0.1,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDFJ",59.2,26.5,"female",NA,31.0745012,-81.42183369,"Insects/Arachnids","Invertebrate",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","FGK",130.5,63,"male",5500,31.06095331,-81.41051104,"Crustaceans","Invertebrate",2,0.9,0.45,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","FGK",130.5,63,"male",5500,31.06095331,-81.41051104,"Fishes","Actinopterygii",6,0.3,0.05,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","FGK",130.5,63,"male",5500,31.06095331,-81.41051104,"Insects/Arachnids","Invertebrate",2,1.7,0.85,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CKM",81.7,37,"male",NA,31.0729586,-81.4060903,"Crustaceans","Invertebrate",2,2.84,1.42,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CKM",81.7,37,"male",NA,31.0729586,-81.4060903,"Gastropods","Invertebrate",3,0.11,0.0366666666666667,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CKM",81.7,37,"male",NA,31.0729586,-81.4060903,"Insects/Arachnids","Invertebrate",1,0.25,0.25,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","EFM",74.4,35.5,"male",2000,31.07492079,-81.42127609,"Insects/Arachnids","Invertebrate",20,10,0.5,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","DGL",76,35.8,"female",NA,31.0749352,-81.42134829,"Gastropods","Invertebrate",1,0.1,0.1,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","DGL",76,35.8,"female",NA,31.0749352,-81.42134829,"Insects/Arachnids","Invertebrate",7,1,0.142857142857143,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","DGL",76,35.8,"female",NA,31.0749352,-81.42134829,"Reptiles","Reptilia",1,2.9,2.9,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","ADI",131.9,63,"male",NA,31.0642749,-81.4154069,"Fishes","Actinopterygii",1,0.1,0.1,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","ADI",131.9,63,"male",NA,31.0642749,-81.4154069,"Insects/Arachnids","Invertebrate",7,6,0.857142857142857,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","DEH",129.1,61.4,"male",NA,31.06431755,-81.41552054,"Crustaceans","Invertebrate",1,2.9,2.9,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","DEH",129.1,61.4,"male",NA,31.06431755,-81.41552054,"Insects/Arachnids","Invertebrate",1,0.5,0.5,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","AEG",138.7,65.2,"male",8000,31.0693172,-81.414892,"Fishes","Actinopterygii",1,0.3,0.3,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","AEG",138.7,65.2,"male",8000,31.0693172,-81.414892,"Gastropods","Invertebrate",1,0.3,0.3,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","AEG",138.7,65.2,"male",8000,31.0693172,-81.414892,"Insects/Arachnids","Invertebrate",2,0.2,0.1,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CFL",85.4,38.3,"female",1500,31.07574139,-81.4105226,"Fishes","Actinopterygii",9,10.7,1.18888888888889,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CFL",85.4,38.3,"female",1500,31.07574139,-81.4105226,"Insects/Arachnids","Invertebrate",5,5.9,1.18,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","IO",107.3,49.4,"female",NA,31.06440092,-81.4154726,"Fishes","Actinopterygii",8,29.9,3.7375,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","IO",107.3,49.4,"female",NA,31.06440092,-81.4154726,"Insects/Arachnids","Invertebrate",4,4.5,1.125,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","JL",79.8,37.6,"male",800,31.07105171,-81.41543307,"Birds","Aves",1,0.1,0.1,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","JL",79.8,37.6,"male",800,31.07105171,-81.41543307,"Fishes","Actinopterygii",1,0.1,0.1,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","JL",79.8,37.6,"male",800,31.07105171,-81.41543307,"Insects/Arachnids","Invertebrate",6,1.2,0.2,1
