id,species,clade,femur,tibio,humerus,radius,mass
1,Apatosaurus_minimus,Sauropodomorpha,NA,NA,NA,NA,NA
2,Cetiosauriscus_greppini,Sauropodomorpha,NA,520,560,NA,NA
3,Cetiosaurus_glymptonensis,Sauropodomorpha,NA,NA,NA,NA,NA
4,Gyposaurus_sinensis,Sauropodomorpha,235.5,202,150,85,3.8E+01
5,Huanghetitan_ruyangensis,Sauropodomorpha,NA,NA,NA,NA,NA
6,Morosaurus_agilis,Sauropodomorpha,NA,NA,NA,NA,NA
7,Pelorosaurus_becklesii,Sauropodomorpha,NA,NA,600,414,NA
8,Yunnanosaurus_youngi,Sauropodomorpha,NA,NA,NA,NA,NA
9,Aardonyx_celestae,Sauropodomorpha,NA,NA,NA,283,NA
10,Abrosaurus_dongpoensis,Sauropodomorpha,NA,NA,NA,NA,NA
11,Adamantisaurus_mezzalirai,Sauropodomorpha,NA,NA,NA,NA,NA
12,Adeopapposaurus_mognai,Sauropodomorpha,230,212,159,99,4.4E+01
13,Aegyptosaurus_baharijensis,Sauropodomorpha,1290,890,1000,NA,NA
14,Aeolosaurus_maximus,Sauropodomorpha,1550,NA,NA,NA,NA
15,Aeolosaurus_colhuehuapensis,Sauropodomorpha,NA,NA,NA,NA,NA
16,Aeolosaurus_rionegrinus,Sauropodomorpha,NA,670,925,580,NA
17,Aeolosaurus_sp.,Sauropodomorpha,NA,NA,NA,NA,NA
18,Agustinia_ligabuei,Sauropodomorpha,NA,840,NA,NA,NA
19,Alamosaurus_sanjuanensis,Sauropodomorpha,NA,NA,1503,NA,3.5E+04
20,Amargasaurus_cazaui,Sauropodomorpha,1050,640,720,470,1.1E+04
21,Amargatitanis_macni,Sauropodomorpha,1118,NA,NA,NA,NA
22,Amazonsaurus_maranhensis,Sauropodomorpha,NA,NA,NA,NA,NA
23,Anchisaurus_polyzelus,Sauropodomorpha,275,260,NA,NA,1.4E+02
24,Ampelosaurus_atacis,Sauropodomorpha,710,NA,657,NA,2.5E+03
25,Amphicoelias_altus,Sauropodomorpha,1770,NA,NA,NA,NA
26,Amygdalodon_patagonicus,Sauropodomorpha,NA,NA,NA,NA,NA
27,Andesaurus_delgadoi,Sauropodomorpha,NA,NA,NA,NA,NA
28,Angolatitan_adamastor,Sauropodomorpha,NA,NA,1100,630,NA
29,Antarctosaurus_wichmannianus,Sauropodomorpha,2280,NA,NA,NA,NA
30,Antarctosaurus_brasilensis,Sauropodomorpha,NA,NA,NA,NA,2.0E+04
31,Antetonitrus_ingenipes,Sauropodomorpha,794,512,717,376,5.6E+03
32,Apatosaurus_excelsus,Sauropodomorpha,1725,1060,1080,786,3.1E+04
33,Apatosaurus_louisae,Sauropodomorpha,1785,1115,1150,800,4.1E+04
34,Apatosaurus_ajax,Sauropodomorpha,1870,1130,NA,780,3.3E+04
35,Apatosaurus_yahnahpin,Sauropodomorpha,NA,1070,1100,648,NA
36,Apatosaurus_parvus,Sauropodomorpha,1700,1068,1130,730,2.4E+04
37,Aragosaurus_ischiaticus,Sauropodomorpha,1420,NA,1120,792,NA
38,Archaeodontosaurus_descouensi,Sauropodomorpha,NA,NA,NA,NA,NA
39,Arcusaurus_pereirabdalorum,Sauropodomorpha,NA,NA,NA,NA,NA
40,Argentinosaurus_huinculensis,Sauropodomorpha,2250,NA,NA,NA,NA
41,Argyrosaurus_superbus,Sauropodomorpha,NA,NA,1370,849,NA
42,Atacamatitan_chilensis,Sauropodomorpha,1100,NA,NA,NA,4.3E+03
43,Atlasaurus_imelakei,Sauropodomorpha,1943,1093,1973,1214,2.6E+04
44,Atsinganosaurus_velauciensis,Sauropodomorpha,NA,530,NA,NA,NA
45,Australodocus_bohetii,Sauropodomorpha,NA,NA,NA,NA,NA
46,Austrosaurus_mckillopi,Sauropodomorpha,NA,NA,NA,NA,NA
47,Baotianmansaurus_henanensis,Sauropodomorpha,NA,NA,NA,NA,NA
48,Barapasaurus_tagorei,Sauropodomorpha,1365,NA,NA,NA,NA
49,Barosaurus_lentus,Sauropodomorpha,1440,1064,1034,NA,1.3E+04
50,Barrosasaurus_casamiquelai,Sauropodomorpha,NA,NA,NA,NA,NA
51,Baurutitan_britoi,Sauropodomorpha,NA,NA,NA,NA,NA
52,Bellusaurus_sui,Sauropodomorpha,550,295,370,202,NA
53,Blikanasaurus_cromptoni,Sauropodomorpha,NA,376,NA,NA,NA
54,Bonatitan_reigi,Sauropodomorpha,585,373,363,195,1.0E+03
55,Bonitasaura_salgadoi,Sauropodomorpha,NA,NA,NA,NA,NA
56,Borealosaurus_wimani,Sauropodomorpha,NA,NA,NA,NA,NA
57,Bothriospondylus_from_France,Sauropodomorpha,1460,870,1330,880,1.5E+04
58,Brachiosaurus_altithorax,Sauropodomorpha,2030,NA,2040,NA,5.6E+04
59,Brachytrachelopan_mesai,Sauropodomorpha,NA,NA,NA,NA,NA
60,Camarasaurus_lewisi,Sauropodomorpha,NA,NA,1018,720,NA
61,Camarasaurus_grandis,Sauropodomorpha,1485,930,1130,NA,1.8E+04
62,Camarasaurus_lentus,Sauropodomorpha,750,NA,545,NA,3.8E+03
63,Camarasaurus_supremus,Sauropodomorpha,NA,NA,NA,NA,NA
64,Camelotia_borealis,Sauropodomorpha,1008,NA,NA,NA,NA
65,Cardiodon_rugulosus,Sauropodomorpha,NA,NA,NA,NA,NA
66,Cathartesaura_anaerobica,Sauropodomorpha,1380,NA,NA,NA,NA
67,Cedarosaurus_weiskopfae,Sauropodomorpha,1395,NA,1380,812,1.5E+04
68,Cetiosauriscus_stewarti,Sauropodomorpha,1360,NA,940,NA,1.6E+04
69,Cetiosaurus_oxoniensis,Sauropodomorpha,1615,945,1260,NA,2.7E+04
70,Chinshakiangosaurus_chunghoensis,Sauropodomorpha,NA,NA,NA,NA,NA
71,Chromogisaurus_novasi,Sauropodomorpha,NA,175,NA,NA,1.3E+01
72,Chuanjiesaurus_anaensis,Sauropodomorpha,1360,NA,1042,665,1.2E+04
73,Chuanjiesaurus_anaensis,Sauropodomorpha,1375,890,1065,655,1.6E+04
74,Chubutisaurus_insignis,Sauropodomorpha,1700,1015,1460,840,2.9E+04
75,Chuxiongosaurus_lufengensis,Sauropodomorpha,NA,NA,NA,NA,NA
76,Coloradisaurus_brevis,Sauropodomorpha,NA,NA,NA,NA,NA
76.5,Comahuesaurus_windhauseni,Sauropodomorpha,1217,NA,696,NA,1.2E+04
77,Daanosaurus_zhangi,Sauropodomorpha,NA,NA,NA,NA,NA
78,Dashanpusaurus_dongi,Sauropodomorpha,1114,672,921,688,9.8E+03
79,Datousaurus_bashanensis,Sauropodomorpha,NA,NA,NA,NA,NA
80,Daxiatitan_binglingi,Sauropodomorpha,1770,NA,NA,NA,NA
81,Demandasaurus_darwini,Sauropodomorpha,1080,NA,NA,NA,NA
82,Diamantinasaurus_matildae,Sauropodomorpha,1330,80,1110,NA,2.3E+04
83,Dicraeosaurus_sattleri,Sauropodomorpha,1205,NA,735,NA,1.0E+04
84,Dinheirosaurus_lourinhanensis,Sauropodomorpha,NA,NA,NA,NA,NA
85,Diplodocus_longus,Sauropodomorpha,1575,1020,1032,682,1.5E+04
86,Diplodocus_hayi,Sauropodomorpha,1448,935,936,660,1.6E+04
87,Diplodocus_carnegiei,Sauropodomorpha,1520,NA,965,NA,1.4E+04
88,Diplodocus_lacustris,Sauropodomorpha,NA,NA,NA,NA,NA
89,Diplodocus_hallorum,Sauropodomorpha,NA,NA,NA,NA,NA
90,Dongbeititan_dongi,Sauropodomorpha,1160,680,NA,NA,NA
91,Dongyangosaurus_sinensis,Sauropodomorpha,NA,NA,NA,NA,NA
92,Dystrophaeus_viaemalae,Sauropodomorpha,NA,NA,765,NA,NA
93,Efraasia_diagnostica,Sauropodomorpha,230,216,175,NA,3.7E+01
94,Elaltitan_lilloi,Sauropodomorpha,NA,NA,1300,730,4.3E+04
95,Eomamenchisaurus_yuanmouensis,Sauropodomorpha,1100,700,NA,NA,NA
96,Epachthosaurus_sciuttoi,Sauropodomorpha,1095,700,935,550,1.3E+04
97,Erketu_ellisoni,Sauropodomorpha,NA,710,NA,NA,NA
98,Eucnemesaurus_fortis,Sauropodomorpha,NA,NA,NA,NA,6.9E+02
99,Euhelopus_zdanskyi,Sauropodomorpha,NA,NA,910,NA,5.9E+03
100,Europasaurus_holgeri,Sauropodomorpha,510,NA,450,NA,1.0E+03
101,Ferganasaurus_verzilini,Sauropodomorpha,1080,710,890,580,8.8E+03
102,Fukuititan_nipponensis,Sauropodomorpha,1140,NA,910,600,6.8E+03
103,Fusuisaurus_zhaoi,Sauropodomorpha,NA,NA,NA,NA,NA
104,Futalognkosaurus_dukei,Sauropodomorpha,1945,NA,1510,965,3.8E+04
105,Galveosaurus_herreroi,Sauropodomorpha,NA,NA,1530,NA,NA
106,Giraffatitan_brancai,Sauropodomorpha,NA,1180,2130,1240,3.4E+04
107,Glacialisaurus_hammeri,Sauropodomorpha,NA,NA,NA,NA,NA
108,Gobititan_shenzhouensis,Sauropodomorpha,NA,920,NA,NA,NA
109,Gondwanatitan_faustoi,Sauropodomorpha,NA,551,715,NA,NA
110,Gongxianosaurus_shibeiensis,Sauropodomorpha,1150,710,920,547,NA
111,Haplocanthosaurus_delfsi,Sauropodomorpha,1745,NA,NA,NA,NA
112,Haplocanthosaurus_priscus,Sauropodomorpha,1275,NA,NA,NA,NA
113,Histriasaurus_boscarollii,Sauropodomorpha,NA,NA,NA,NA,NA
114,Huabeisaurus_allocotus,Sauropodomorpha,1560,1150,NA,NA,NA
115,Huanghetitan_liujiaxiaensis,Sauropodomorpha,NA,NA,NA,NA,NA
116,Hudiesaurus_sinojapanorum,Sauropodomorpha,NA,NA,1210,790,NA
117,Ignavusaurus_rachelis,Sauropodomorpha,152.7,NA,NA,60.3,NA
118,Isanosaurus_attavipachi,Sauropodomorpha,760,NA,NA,NA,NA
119,Isisaurus_colberti,Sauropodomorpha,NA,NA,1480,NA,NA
120,Jainosaurus_septentrionalis,Sauropodomorpha,1288,810,952,520,1.2E+04
121,Jainosaurus_septentrionalis,Sauropodomorpha,NA,NA,NA,NA,NA
122,Janenschia_robusta,Sauropodomorpha,1230,NA,890,NA,1.4E+04
123,Jiangshanosaurus_lixianensis,Sauropodomorpha,NA,NA,NA,NA,NA
124,Jingshanosaurus_xinwaensis,Sauropodomorpha,845,690,450,259,2.9E+03
125,Jiutaisaurus_xidensis,Sauropodomorpha,NA,NA,NA,NA,NA
126,Jobaria_tiguidensis,Sauropodomorpha,1416,NA,1005,NA,1.4E+04
127,Jobaria_tiguidensis,Sauropodomorpha,1800,1080,1360,1040,NA
128,Karongasaurus_gittlemani,Sauropodomorpha,NA,NA,NA,NA,NA
129,Klamelisaurus_gobiensis,Sauropodomorpha,1200,740,920,560,1.1E+04
130,Kotasaurus_yamanpalliensis,Sauropodomorpha,1170,680,750,720,5.0E+03
131,Kunmingosaurus,Sauropodomorpha,880,NA,NA,NA,NA
132,Lamplughsaura_dharmarensis,Sauropodomorpha,630,525,535,NA,NA
133,Laplatasaurus_araukanicus,Sauropodomorpha,NA,660,NA,NA,NA
134,Lapparentosaurus_madagascariensis,Sauropodomorpha,611,385,505,420,1.4E+03
135,Lessemsaurus_sauropoides,Sauropodomorpha,760,NA,485,NA,1.8E+03
136,Leonerasaurus_taquetrensis,Sauropodomorpha,NA,NA,NA,NA,NA
137,Leyesaurus_marayensis,Sauropodomorpha,NA,NA,NA,NA,NA
138,Ligabuesaurus_leanzai,Sauropodomorpha,1660,1040,1490,NA,2.0E+04
139,Limaysaurus_tessonei,Sauropodomorpha,1440,850,900,690,1.2E+04
140,Lirainosaurus_astibiae,Sauropodomorpha,680,NA,550,NA,1.8E+03
141,Losillasaurus_giganteus,Sauropodomorpha,NA,NA,1430,NA,NA
142,Lourinhasaurus_alenquerensis,Sauropodomorpha,1740,1100,1500,1010,3.1E+04
143,Lufengosaurus_magnus,Sauropodomorpha,740,560,430,213,2.3E+03
144,Lusotitan_atalaiensis,Sauropodomorpha,NA,1120,2050,1130,NA
145,Magyarosaurus_dacus,Sauropodomorpha,475,NA,410,NA,7.5E+02
146,Malarguesaurus_florenciae,Sauropodomorpha,NA,NA,NA,NA,NA
147,Malawisaurus_dixeyi,Sauropodomorpha,NA,NA,722,NA,7.0E+03
148,Mamenchisaurus_constructus,Sauropodomorpha,1230,NA,970,690,1.8E+04
149,Mamenchisaurus_youngi,Sauropodomorpha,1125,665,835,545,6.2E+03
150,Massospondylus_carinatus,Sauropodomorpha,NA,NA,275,NA,4.9E+02
151,Maxakalisaurus_topai,Sauropodomorpha,NA,NA,NA,NA,NA
152,Melanorosaurus_readi,Sauropodomorpha,638,NA,450,NA,NA
153,Mendozasaurus_neguyelap,Sauropodomorpha,NA,990,1060,720,NA
154,Mongolosaurus_haplodon,Sauropodomorpha,NA,NA,NA,NA,NA
155,Mussaurus_patagonicus,Sauropodomorpha,NA,NA,NA,NA,NA
156,Muyelensaurus_pecheni,Sauropodomorpha,NA,NA,NA,NA,NA
157,Narambuenatitan_palomoi,Sauropodomorpha,NA,NA,920,NA,NA
158,Nemegtosaurus_mongoliensis,Sauropodomorpha,NA,NA,NA,NA,NA
159,Neuquensaurus_australis,Sauropodomorpha,810,NA,NA,NA,6.1E+03
160,Nigersaurus_taqueti,Sauropodomorpha,1000,NA,NA,NA,NA
161,Nopcsaspondylus_alarconensis,Sauropodomorpha,NA,NA,NA,NA,NA
162,Ohmdenosaurus_liassicus,Sauropodomorpha,NA,405,NA,NA,NA
163,Omeisaurus_maoianus,Sauropodomorpha,1120,660,785,510,7.8E+03
164,Omeisaurus_jiaoi,Sauropodomorpha,1400,900,1160,840,NA
165,Omeisaurus_tianfuensis,Sauropodomorpha,1310,820,1080,755,1.6E+04
166,Omeisaurus_junghsiensis,Sauropodomorpha,NA,NA,NA,NA,8.9E+03
167,Opisthocoelicaudia_skarzynskii,Sauropodomorpha,1395,810,1000,630,2.5E+04
168,Duriatitan_humerocristatus,Sauropodomorpha,NA,NA,1372,NA,NA
169,Sauroposeidon_proteles,Sauropodomorpha,1442,887,NA,789,1.2E+04
170,Pampadromaeus_barberenai,Sauropodomorpha,NA,NA,NA,NA,8.5E+00
171,Panamericansaurus_schroederi,Sauropodomorpha,NA,NA,1230,NA,NA
172,Panphagia_protos,Sauropodomorpha,NA,157,NA,NA,NA
173,Pantydraco_caducus,Sauropodomorpha,79,NA,NA,NA,1.2E+00
174,Paralititan_stromeri,Sauropodomorpha,NA,NA,1690,NA,NA
175,Patagosaurus_fariasi,Sauropodomorpha,1275,NA,NA,NA,NA
176,Pellegrinisaurus_powelli,Sauropodomorpha,NA,NA,NA,NA,NA
177,Pelorosaurus_conybeari,Sauropodomorpha,NA,NA,1372,NA,NA
178,Petrobrasaurus_puestohernandezi,Sauropodomorpha,1575,NA,1200,NA,1.5E+04
179,Phuwiangosaurus_sirindhornae,Sauropodomorpha,1250,NA,1020,NA,9.7E+03
180,Pitekunsaurus_macayai,Sauropodomorpha,NA,NA,NA,NA,NA
181,Plateosauravus_cullingworthi,Sauropodomorpha,600,NA,455,NA,1.3E+03
182,Plateosaurus_engelhardti,Sauropodomorpha,685,550,382,233,9.2E+02
183,Pleurocoelus_nanus,Sauropodomorpha,394,NA,363,NA,5.2E+02
184,Pleurocoelus_altus,Sauropodomorpha,NA,635,NA,NA,NA
185,Pradhania_gracilis,Sauropodomorpha,NA,NA,NA,NA,NA
186,Puertasaurus_reuili,Sauropodomorpha,NA,NA,NA,NA,NA
187,Qiaowanlong_kangxii,Sauropodomorpha,NA,NA,NA,NA,NA
188,Qingxiusaurus_youjiangensis,Sauropodomorpha,NA,NA,900,NA,NA
189,Quaesitosaurus_orientalis,Sauropodomorpha,NA,NA,NA,NA,NA
190,Rapetosaurus_krausei,Sauropodomorpha,687,500,524,365,1.6E+03
191,Rayososaurus_agrioensis,Sauropodomorpha,1250,NA,NA,NA,NA
192,Rebbachisaurus_garasbae,Sauropodomorpha,NA,NA,NA,NA,NA
193,Rhoetosaurus_brownei,Sauropodomorpha,NA,NA,NA,NA,NA
194,Rinconsaurus_caudamirus,Sauropodomorpha,990,NA,790,NA,4.1E+03
195,Riojasaurus_incertus,Sauropodomorpha,608,520,482,280,1.1E+03
196,Rocasaurus_muniozi,Sauropodomorpha,812,NA,NA,NA,NA
197,Ruehleia_bedheimensis,Sauropodomorpha,752,NA,475,NA,1.1E+03
198,Ruyangosaurus_giganteus,Sauropodomorpha,NA,1270,NA,NA,NA
199,Saltasaurus_loricatus,Sauropodomorpha,875,NA,550,NA,5.8E+03
200,Saltasaurus_loricatus,Sauropodomorpha,750,NA,NA,NA,NA
200.5,Sarahsaurus_aurifontanalis,Sauropodomorpha,340,NA,190,NA,1.0E+02
201,Saturnalia_tupiniquim,Sauropodomorpha,157,158,97,61,1.1E+01
202,Sauroposeidon_proteles,Sauropodomorpha,NA,NA,NA,NA,NA
203,Seitaad_ruessi,Sauropodomorpha,NA,273,182,117,NA
204,Shunosaurus_lii,Sauropodomorpha,1200,720,720,480,6.7E+03
205,Shunosaurus_lii,Sauropodomorpha,1250,800,NA,NA,NA
206,Sonidosaurus_saihangaobiensis,Sauropodomorpha,NA,NA,NA,NA,NA
207,Sonorasaurus_thompsoni,Sauropodomorpha,NA,980,NA,890,NA
208,Spinophorosaurus_nigerensis,Sauropodomorpha,1215,700,1121,NA,NA
209,Supersaurus_vivianae,Sauropodomorpha,NA,1255,NA,NA,NA
210,Suuwassea_emilieae,Sauropodomorpha,NA,NA,752,NA,NA
211,Tangvayosaurus_hoffeti,Sauropodomorpha,1620,NA,NA,NA,NA
212,Tapuiasaurus_macedoi,Sauropodomorpha,NA,NA,NA,527,NA
213,Tastavinsaurus_sanzi,Sauropodomorpha,1310,735,NA,NA,NA
214,Tazoudasaurus_naimi,Sauropodomorpha,1230,NA,1030,NA,NA
215,Tehuelchesaurus_benitezii,Sauropodomorpha,1580,NA,1140,750,4.1E+04
216,Tendaguria_tanzaniensis,Sauropodomorpha,NA,NA,NA,NA,NA
217,Thecodontosaurus_antiquus,Sauropodomorpha,NA,NA,NA,NA,NA
218,Tonganosaurus_hei,Sauropodomorpha,840,562,628,498,NA
219,Tornieria_africana,Sauropodomorpha,1420,NA,960,NA,1.2E+04
220,Traukutitan_eocaudata,Sauropodomorpha,1860,NA,NA,NA,NA
221,Trigonosaurus_pricei,Sauropodomorpha,NA,NA,NA,NA,NA
222,Turiasaurus_riodevensis,Sauropodomorpha,NA,NA,1790,1180,5.1E+04
223,Uberabatitan_ribeiroi,Sauropodomorpha,NA,726,NA,445,NA
224,Unaysaurus_tolentinoi,Sauropodomorpha,NA,NA,158,102,NA
225,Venenosaurus_dicrocei,Sauropodomorpha,NA,NA,NA,695,NA
226,Volkheimeria_chubutensis,Sauropodomorpha,655,390,NA,NA,NA
227,Vulcanodon_karibaensis,Sauropodomorpha,1100,634,700,NA,9.8E+03
228,Wintonotitan_wattsi,Sauropodomorpha,NA,NA,NA,NA,NA
229,Xenoposeidon_proneukos,Sauropodomorpha,NA,NA,NA,NA,NA
230,Xianshanosaurus_shijiagouensis,Sauropodomorpha,1260,NA,NA,NA,NA
231,Xixiposaurus_suni_,Sauropodomorpha,429,356,289,NA,2.6E+02
232,Yimenosaurus_youngi,Sauropodomorpha,872,NA,NA,NA,1.9E+03
233,Yuanmousaurus_jiangyiensis,Sauropodomorpha,1370,810,980,NA,7.8E+03
234,Yunnanosaurus_huangi,Sauropodomorpha,435,355,231,NA,4.3E+02
235,Zapalasaurus_bonapartei,Sauropodomorpha,1000,578,NA,NA,NA
236,Zby_atlanticus,Sauropodomorpha,NA,NA,1530,1040,NA
237,Abelisaurus_comahuensis,Theropoda,NA,NA,NA,NA,NA
238,Achillesaurus_manazzonei,Theropoda,NA,NA,NA,NA,NA
239,Achillobator_giganticus,Theropoda,505,490,NA,260,4.5E+02
240,Acrocanthosaurus_atokensis,Theropoda,1180,895,380,210,3.5E+03
241,Adasaurus_mongoliensis,Theropoda,273,302,NA,NA,4.4E+01
242,Aerosteon_riocoloradensis,Theropoda,NA,615,NA,NA,NA
243,Afrovenator_abakensis,Theropoda,760,NA,NA,NA,1.0E+03
244,Albertonykus_borealis,Theropoda,NA,191,NA,13,NA
245,Albertosaurus_sarcophagus,Theropoda,1020,1026,305,134,2.0E+03
246,Alectrosaurus_olseni,Theropoda,661,722,NA,NA,6.3E+02
247,Alethoalaornis_agitornis,Theropoda,28.3,28.8,29.3,26.7,1.4E-01
248,Alexornis_antecedens,Theropoda,NA,NA,NA,NA,3.3E-02
249,Alioramus_spp.,Theropoda,560,NA,NA,NA,2.8E+02
250,Allosaurus_fragilis,Theropoda,973,766,NA,NA,2.5E+03
251,Allosaurus_fragilis,Theropoda,742,706.5,318,200,NA
252,Alvarezsaurus_calvoi,Theropoda,NA,NA,NA,NA,3.1E+00
253,Alxasaurus_elesitaiensis,Theropoda,555,NA,375,245,NA
254,Ambiortus,Theropoda,NA,NA,NA,NA,NA
255,Anchiornis_huxleyi,Theropoda,66.2,102.144,69,54,7.0E-01
256,Angaturama_limai,Theropoda,NA,NA,NA,NA,NA
257,Aniksosaurus_darwini,Theropoda,247,NA,NA,NA,3.8E+01
258,Anserimimus_planinychus,Theropoda,433,472,250,226,1.8E+02
259,Apatornis_celer,Theropoda,NA,NA,NA,NA,NA
260,Appalachiosaurus_montgomeriensis,Theropoda,786,762,NA,NA,8.9E+02
261,Apsaravis_ukhaana,Theropoda,41,NA,48,43,1.1E-01
262,Archaeopteryx_lithographica,Theropoda,53,65.76,64,54,1.9E-01
263,Archaeopteryx_lithographica,Theropoda,70,89.5,83,NA,9.9E-01
264,Archaeorhynchus_spathula,Theropoda,37,40.8,53,NA,1.7E-01
265,Archaeornithoides_deinosauriscus,Theropoda,NA,NA,NA,NA,NA
266,Archaeornithomimus_asiaticus,Theropoda,402,423,275,202,1.9E+02
267,Aristosuchus_pusillus,Theropoda,NA,NA,NA,NA,NA
268,Asiahesperornis_bazhanovi,Theropoda,NA,NA,NA,NA,NA
269,Atrociraptor_marshalli,Theropoda,NA,NA,NA,NA,NA
270,Aucasaurus_garridoi,Theropoda,730,620,265,82,8.5E+02
271,Austinornis_lentus,Theropoda,NA,NA,NA,NA,NA
272,Australovenator_wintonensis,Theropoda,578,567,305,213,3.1E+02
273,Austroraptor_cabazai,Theropoda,560,565,260,NA,5.2E+02
274,Aviatyrannis_jurassica,Theropoda,NA,NA,NA,NA,NA
275,Avimimus_portentosus,Theropoda,186,255,93,93,1.1E+01
276,Avisaurus_archibaldi,Theropoda,NA,NA,NA,NA,NA
277,Avisaurus_gloriae,Theropoda,NA,NA,NA,NA,NA
278,Bagaraatan_ostromi,Theropoda,NA,365,NA,NA,7.3E+01
279,Balaur_bondoc,Theropoda,NA,146.88,117,96,NA
280,Balaur_bondoc,Theropoda,NA,NA,170,NA,NA
281,Bahariasaurus_ingens,Theropoda,NA,NA,NA,NA,NA
282,Bambiraptor_feinbergorum,Theropoda,120,168,103,85,3.6E+00
283,Baptornis_advenus,Theropoda,75,200,NA,NA,4.9E+00
284,Baptornis_varneri,Theropoda,NA,198.2112,NA,NA,1.0E+01
285,Baryonyx_walkeri,Theropoda,NA,NA,463,225,NA
286,Becklespinax_altipinax,Theropoda,NA,NA,NA,NA,NA
287,Beipiaosaurus_inexpectus,Theropoda,263,274,NA,NA,NA
288,Beishanlong_grandis,Theropoda,660,660,465,338,6.2E+02
289,Dromiceoiomimus_breviterius,Theropoda,432,531,NA,NA,1.3E+02
290,Dromiceoiomimus_breviterius,Theropoda,378,430.08,283,NA,NA
291,Berberosaurus,Theropoda,NA,NA,NA,NA,NA
292,Boluochia_zhengi,Theropoda,NA,NA,NA,NA,1.2E-01
293,Borogovia_gracilicrus,Theropoda,NA,NA,NA,NA,NA
294,Buitreraptor_gonzalezorum,Theropoda,147,NA,135,95,3.3E+00
295,Byronosaurus_jaffei,Theropoda,NA,NA,NA,NA,NA
296,Caenagnathasia_martinsoni,Theropoda,NA,NA,NA,NA,NA
296.5,Caenagnathus_collinsi,Theropoda,NA,NA,NA,NA,NA
297,Carcharodontosaurus_saharicus,Theropoda,1177,NA,NA,NA,3.0E+03
298,Carnotaurus_sastrei,Theropoda,1035,NA,284,76,1.6E+03
299,Cathayornis_yandica,Theropoda,23,28.9,27,26,2.3E-02
300,Caudipteryx_zhoui,Theropoda,149,196,70,56,NA
301,Ceramornis_major,Theropoda,NA,NA,NA,NA,NA
302,Ceratonykus_oculatus,Theropoda,NA,NA,NA,NA,3.0E-01
303,Ceratosaurus_nasicornis,Theropoda,759,594,330,NA,9.7E+02
304,Ceratosaurus_nasicornis,Theropoda,620,557,NA,149,5.0E+02
305,Changchengornis_hengdaoziensis,Theropoda,33.4,35.328,33.5,31,9.9E-02
306,Chaoyangia_beishanensis,Theropoda,45,NA,NA,NA,3.1E-01
